natx =      603
    x       y        z       iph  
      0.41247      0.00000      4.91384   3      4.93112
     -1.75633     -1.57576     -4.36855   3      4.96507
     -1.75633      1.57576     -4.36855   3      4.96507
      0.37153      0.00000     -4.95887   3      4.97277
      2.47512     -1.57576     -4.01819   3      4.97545
      2.47512      1.57576     -4.01819   3      4.97545
      4.28851     -1.57576     -2.14844   3      5.04878
      4.28851      1.57576     -2.14844   3      5.04878
     -1.81992     -3.15151      3.54721   1      5.08201
     -1.81992      3.15151      3.54721   1      5.08201
     -2.08067     -4.72727     -0.04497   1      5.16510
     -2.08067      4.72727     -0.04497   1      5.16510
      2.42478     -3.15151      3.34874   3      5.19862
      2.42478      3.15151      3.34874   3      5.19862
     -0.02897     -4.72727     -2.44913   3      5.32411
     -0.02897      4.72727     -2.44913   3      5.32411
      2.32503     -4.72727      0.85860   3      5.33761
      2.32503      4.72727      0.85860   3      5.33761
      0.10644     -4.72727      2.53657   3      5.36587
      0.10644      4.72727      2.53657   3      5.36587
      4.34750     -3.15151     -0.04952   1      5.36984
      4.34750      3.15151     -0.04952   1      5.36984
     -4.84664     -1.57576      1.78962   2      5.40145
     -4.84664      1.57576      1.78962   2      5.40145
     -3.86719     -1.57576      3.57867   3      5.49955
     -3.86719      1.57576      3.57867   3      5.49955
     -5.47152      0.00000     -0.63252   2      5.50796
      3.29673     -3.15151     -3.13902   2      5.53660
      3.29673      3.15151     -3.13902   2      5.53660
     -4.04732      0.00000     -3.84312   3      5.58125
      0.41247     -3.15151      4.91384   3      5.85218
      0.41247      3.15151      4.91384   3      5.85218
      0.37153     -3.15151     -4.95887   3      5.88731
      0.37153      3.15151     -4.95887   3      5.88731
     -1.71539     -1.57576      5.50416   3      5.97673
     -1.71539      1.57576      5.50416   3      5.97673
      1.42425     -1.57576     -5.63142   2      6.01867
      1.42425      1.57576     -5.63142   2      6.01867
      0.00000     -6.30303      0.00000   3      6.30303
      0.00000      6.30303      0.00000   3      6.30303
     -5.47152     -3.15151     -0.63252   2      6.34584
     -5.47152      3.15151     -0.63252   2      6.34584
     -4.04732     -3.15151     -3.84312   3      6.40955
     -4.04732      3.15151     -3.84312   3      6.40955
     -3.28263     -4.72727     -2.92094   2      6.45404
     -3.28263      4.72727     -2.92094   2      6.45404
     -5.95208      0.00000      2.49729   3      6.45474
      1.46519     -4.72727      4.24129   2      6.51785
      1.46519      4.72727      4.24129   2      6.51785
     -0.75529      0.00000      6.48905   2      6.53286
      2.51606     -1.57576      5.85452   3      6.56422
      2.51606      1.57576      5.85452   3      6.56422
     -6.36717     -1.57576      0.32750   3      6.56743
     -6.36717      1.57576      0.32750   3      6.56743
      4.62498      0.00000     -4.67320   3      6.57489
     -4.40457     -4.72727     -1.29929   3      6.59056
     -4.40457      4.72727     -1.29929   3      6.59056
     -1.86086      0.00000     -6.32550   1      6.59354
      1.23827     -6.30303      1.71312   2      6.64803
      1.23827      6.30303      1.71312   2      6.64803
      6.45528     -1.57576     -0.25616   3      6.64976
      6.45528      1.57576     -0.25616   3      6.64976
     -5.03092      0.00000      4.36759   2      6.66228
     -1.75633     -4.72727     -4.36855   3      6.67203
     -1.75633      4.72727     -4.36855   3      6.67203
      2.47512     -4.72727     -4.01819   3      6.67976
      2.47512      4.72727     -4.01819   3      6.67976
      4.28851     -4.72727     -2.14844   3      6.73455
      4.28851      4.72727     -2.14844   3      6.73455
     -6.32239      0.00000     -2.42285   3      6.77073
      2.18551     -6.30303     -1.46755   3      6.83069
      2.18551      6.30303     -1.46755   3      6.83069
      2.38384      0.00000     -6.52397   3      6.94585
      4.66592      0.00000      5.19951   3      6.98611
      5.62430     -1.57576     -3.83840   2      6.98921
      5.62430      1.57576     -3.83840   2      6.98921
     -2.32242     -6.30303     -1.95955   3      6.99726
     -2.32242      6.30303     -1.95955   3      6.99726
     -4.84664     -4.72727      1.78962   2      7.00284
     -4.84664      4.72727      1.78962   2      7.00284
     -3.86719     -4.72727      3.57867   3      7.07878
     -3.86719      4.72727      3.57867   3      7.07878
      6.87036      0.00000      1.91362   3      7.13189
      6.50005      0.00000     -3.00652   3      7.16169
     -5.95208     -3.15151      2.49729   3      7.18302
     -5.95208      3.15151      2.49729   3      7.18302
     -0.79623     -6.30303     -3.38366   2      7.19801
     -0.79623      6.30303     -3.38366   2      7.19801
     -4.00638      0.00000      6.02959   3      7.23927
     -0.75529     -3.15151      6.48905   2      7.25329
     -0.75529      3.15151      6.48905   2      7.25329
     -3.35589     -6.30303      1.39672   3      7.27606
     -3.35589      6.30303      1.39672   3      7.27606
      4.62498     -3.15151     -4.67320   3      7.29118
      4.62498      3.15151     -4.67320   3      7.29118
     -1.86086     -3.15151     -6.32550   1      7.30799
     -1.86086      3.15151     -6.32550   1      7.30799
     -5.03092     -3.15151      4.36759   2      7.37008
     -5.03092      3.15151      4.36759   2      7.37008
      7.35093      0.00000     -1.21619   2      7.45086
     -1.71539     -4.72727      5.50416   3      7.45556
     -1.71539      4.72727      5.50416   3      7.45556
     -1.81992     -6.30303      3.54721   1      7.45808
     -1.81992      6.30303      3.54721   1      7.45808
     -6.32239     -3.15151     -2.42285   3      7.46825
     -6.32239      3.15151     -2.42285   3      7.46825
     -5.07186      0.00000     -5.50512   2      7.48533
      1.42425     -4.72727     -5.63142   2      7.48922
      1.42425      4.72727     -5.63142   2      7.48922
      0.06550     -1.57576     -7.33614   3      7.50375
      0.06550      1.57576     -7.33614   3      7.50375
      3.33767      0.00000      6.73369   2      7.51549
      2.42478     -6.30303      3.34874   3      7.53802
      2.42478      6.30303      3.34874   3      7.53802
     -3.90813     -1.57576     -6.29404   3      7.57439
     -3.90813      1.57576     -6.29404   3      7.57439
      0.01197     -1.57576      7.42357   3      7.58898
      0.01197      1.57576      7.42357   3      7.58898
      2.38384     -3.15151     -6.52397   3      7.62738
      2.38384      3.15151     -6.52397   3      7.62738
      4.34750     -6.30303     -0.04952   1      7.65711
      4.34750      6.30303     -0.04952   1      7.65711
      4.66592     -3.15151      5.19951   3      7.66405
      4.66592      3.15151      5.19951   3      7.66405
      3.29673     -6.30303     -3.13902   2      7.77496
      3.29673      6.30303     -3.13902   2      7.77496
      6.87036     -3.15151      1.91362   3      7.79717
      6.87036      3.15151      1.91362   3      7.79717
      6.50005     -3.15151     -3.00652   3      7.82444
      6.50005      3.15151     -3.00652   3      7.82444
     -3.24169     -1.57576      6.95177   2      7.83062
     -3.24169      1.57576      6.95177   2      7.83062
     -4.00638     -3.15151      6.02959   3      7.89551
     -4.00638      3.15151      6.02959   3      7.89551
      2.51606     -4.72727      5.85452   3      7.93430
      2.51606      4.72727      5.85452   3      7.93430
     -6.36717     -4.72727      0.32750   3      7.93695
     -6.36717      4.72727      0.32750   3      7.93695
      1.09060     -7.87879     -0.85275   2      7.99950
      1.09060      7.87879     -0.85275   2      7.99950
      0.41247     -6.30303      4.91384   3      8.00276
      0.41247      6.30303      4.91384   3      8.00276
      6.45528     -4.72727     -0.25616   3      8.00521
      6.45528      4.72727     -0.25616   3      8.00521
     -6.15156     -1.57576     -4.91033   3      8.02721
     -6.15156      1.57576     -4.91033   3      8.02721
     -6.11062     -1.57576      4.96238   3      8.02795
     -6.11062      1.57576      4.96238   3      8.02795
      0.37153     -6.30303     -4.95887   3      8.02849
      0.37153      6.30303     -4.95887   3      8.02849
     -7.19815     -1.57576     -3.25474   2      8.05542
     -7.19815      1.57576     -3.25474   2      8.05542
      7.35093     -3.15151     -1.21619   2      8.08995
