natx =      441
    x       y        z       iph  
      1.49895     -1.25825      5.71026   3      6.03632
     -0.81659     -1.60362     -5.78410   3      6.05758
      0.07109      5.82713     -1.79409   2      6.09748
      5.22032      0.06009      3.45916   3      6.26268
      4.93844     -3.46023      1.73340   3      6.27424
     -3.93394      4.44142     -2.24846   3      6.34489
     -3.42213      1.36312      5.17903   3      6.35542
     -2.59786     -2.67498      5.20571   2      6.40342
     -5.40756      0.10692      3.44202   3      6.41098
     -5.71561      2.33098      1.74381   3      6.41424
      2.71608     -2.69840      5.21428   2      6.46894
      5.26164      0.34250     -3.76964   3      6.48169
      0.30633      6.27571      1.75075   2      6.52254
     -5.36624      0.38933     -3.78677   3      6.57934
     -0.02614     -5.37845     -3.80575   3      6.58879
     -2.62402      3.06939      5.23325   2      6.61011
     -0.06745     -5.66087      3.42305   3      6.61568
      2.68992      3.04597      5.24182   2      6.63252
     -3.49180     -0.99460     -5.60566   3      6.67872
     -0.11978      5.82788      3.47813   3      6.78792
     -2.46482     -2.78057     -5.71732   2      6.81870
     -5.68945     -3.41339      1.71627   3      6.85322
     -2.49098      2.96380     -5.68978   2      6.88206
     -5.13633     -2.76058     -3.76424   1      6.94062
      2.84912     -2.80399     -5.70875   2      6.96919
     -3.81499     -1.23483      5.70169   3      6.97053
      2.82295      2.94038     -5.68121   2      6.99221
     -5.16250      2.98379     -3.73670   1      7.03686
      1.91798     -4.40467      5.16006   3      7.05025
     -2.51974     -5.53240     -3.71292   1      7.12336
     -0.84275      4.14075     -5.75656   3      7.14101
     -0.07847      6.11029     -3.75066   3      7.17002
      0.04557      0.43927      7.18199   3      7.19556
      5.49155     -2.80741     -3.74710   1      7.21661
      6.72011     -1.34979     -2.25887   3      7.21695
      6.81645      1.47844     -1.90658   3      7.23082
      5.46538      2.93696     -3.71956   1      7.23403
      2.79420     -5.55582     -3.70435   1      7.23857
      2.15697      6.72325      1.77089   3      7.27947
     -4.95528     -5.18962      1.68710   2      7.37111
     -5.24621      0.14132      5.23468   2      7.41246
      1.47278      4.48613      5.73780   3      7.43080
     -2.57207      5.95634     -3.65783   1      7.44804
      2.74187      5.93293     -3.64926   1      7.48563
      4.49735     -1.62704     -5.77554   3      7.49869
      5.38168      0.09448      5.25182   2      7.52017
      1.79597      4.72636     -5.56955   3      7.52223
     -3.39596     -4.38125      5.15149   3      7.56741
      1.43233     -7.07075     -2.29498   3      7.57060
     -2.51533      0.18785      7.18030   1      7.61045
      0.17617     -2.75394      7.10248   1      7.61974
      1.47635      7.24623     -1.88760   3      7.63220
      0.02393      0.36777     -7.64096   3      7.64984
     -3.15697      6.74666      1.76232   3      7.65439
      0.09390     -5.62647      5.21571   2      7.67265
     -5.14245      0.25156     -5.71061   2      7.68890
      2.79861      0.16443      7.18886   1      7.71615
      0.15001      2.99043      7.13002   1      7.73320
      7.49707      0.95546      1.75191   3      7.75810
     -5.28778     -5.72096     -0.03611   3      7.79046
      5.28778      5.72096      0.03611   3      7.79046
     -5.34011      5.76779      0.01898   3      7.86031
      5.34011     -5.76779     -0.01898   3      7.86031
      0.04157      5.86227      5.27080   2      7.88348
     -5.19053     -5.63820     -1.85774   2      7.88556
      5.67260     -5.23645      1.70423   2      7.90590
      5.48543      0.20473     -5.69348   2      7.90870
      0.19766     -5.51623     -5.72959   2      7.95588
     -2.53697      0.11635     -7.64265   1      8.05356
     -5.24285      5.85054     -1.80265   2      8.06014
      5.43736     -5.68504     -1.84061   2      8.07913
