natx =      464
    x       y        z       iph  
      6.48547     -4.05044     -3.80010   2      8.53863
     -6.49581      4.06261     -3.83224   2      8.56659
     -6.54362      4.05038      3.79881   2      8.58228
      6.54459     -4.06117      3.82322   2      8.59894
      2.41490     -0.20458      8.28628   3      8.63343
      0.19625     -2.49525     -8.27814   3      8.64826
     -3.87918      6.75441      3.79076   2      8.66256
     -5.33983      5.53238      4.02123   3      8.67706
      7.68745     -0.12130     -4.03067   3      8.68089
      3.92796     -6.75296     -3.79978   2      8.68733
      3.88014     -6.76520      3.83127   2      8.68919
     -6.46029      1.14592     -5.70936   1      8.69743
     -7.92941     -0.10999      3.61536   3      8.71542
     -3.93830      6.76513     -3.83256   2      8.71583
     -2.79717     -0.20476      8.28622   3      8.74800
      6.47636     -1.55249     -5.71014   1      8.77264
      6.56590     -1.14084      5.71032   1      8.77612
      0.09876     -8.00778     -3.61672   3      8.78720
     -1.24805      6.55406     -5.72546   1      8.79171
      0.19643      2.91272     -8.29430   3      8.79306
      1.35366     -6.54898      5.72642   1      8.80417
     -3.90830      1.32906      7.78725   2      8.81377
      3.90923     -1.32889     -7.78859   2      8.81534
      3.90953     -1.37488      7.79538   2      8.82851
     -6.55319      1.55281      5.70887   1      8.82874
     -3.90861      1.37505     -7.79672   2      8.82932
     -1.30235      4.03290      7.77915   2      8.85864
      1.30327     -4.03273     -7.78049   2      8.85988
      5.02073      0.15958      7.30014   3      8.86145
      1.30358     -4.07872      7.80348   2      8.90110
     -7.70748      2.59524      3.61842   3      8.90132
     -1.30266      4.07889     -7.80482   2      8.90222
     -7.94874     -0.12183     -4.03086   3      8.91320
      0.12881     -7.98664      4.06919   3      8.96445
     -7.70766     -2.81273      3.63459   3      8.97384
     -2.41002      2.49553      8.27999   3      8.97742
      0.09930      8.21612     -3.66522   3      8.99713
     -0.19151     -5.24856      7.31625   3      9.00620
     -7.69440      2.57899     -4.05153   3      9.07027
      1.26412     -6.96063     -5.69404   1      9.08132
     -5.40339      0.15922      7.30002   3      9.08363
      2.80204      2.49571      8.28006   3      9.09062
     -1.34095      6.96095      5.69277   1      9.09179
      7.92870      2.59577      3.61861   3      9.09377
     -2.41020     -2.91243      8.29616   3      9.11688
     -2.49524      8.00338      3.60232   3      9.12453
     -7.69458     -2.82897     -4.03536   3      9.13749
      7.92852     -2.81219      3.63478   3      9.16414
      0.12935      8.23725      4.02069   3      9.16706
     -0.19115      5.56737      7.28391   3      9.16992
      2.71682      8.00356      3.60238   3      9.18778
     -5.01551     -2.54142      7.30576   3      9.21891
     -9.12075      1.35167     -0.00489   2      9.22036
      9.12138     -1.35164      0.00344   2      9.22098
      2.80186     -2.91225      8.29622   3      9.22816
      7.94179      2.57953     -4.05134   3      9.28113
     -2.48216      7.98714     -4.06764   3      9.30060
     -5.01533      2.86655      7.28960   3      9.30102
      2.41477      5.24937     -7.31385   3      9.32091
     -2.49578     -8.22052      3.65082   3      9.33458
      7.94161     -2.82843     -4.03518   3      9.34622
      2.72991      7.98732     -4.06757   3      9.36989
     -6.51498     -6.76014      0.01942   2      9.38855
      6.51561      6.76017     -0.02086   2      9.38901
      2.71628     -8.22034      3.65088   3      9.39580
     -2.79729      5.24919     -7.31392   3      9.42721
      5.40862     -2.54106      7.30589   3      9.43855
      6.47654      3.85548     -5.72630   1      9.46577
      2.41441     -5.56656     -7.28152   3      9.47821
     -2.48270     -8.23676     -4.01914   3      9.49534
     -7.81782      5.40753     -0.01716   3      9.50579
      7.81800     -5.40786      0.01536   3      9.50612
      7.81836      5.40807     -0.01697   3      9.50654
     -7.81818     -5.40840      0.01517   3      9.50657
     -3.85840     -6.54916      5.72636   1      9.51682
     -6.55337     -3.85516      5.72504   1      9.51762
      5.40880      2.86691      7.28972   3      9.51915
     -1.30238      9.46393     -0.02902   2      9.55317
      1.30301     -9.46390      0.02757   2      9.55322
      2.72937     -8.23658     -4.01907   3      9.56262
      3.96402      6.55424     -5.72540   1      9.56304
     -2.79765     -5.56674     -7.28158   3      9.58315
      3.90971      4.03308      7.77921   2      9.59519
     -3.90878     -4.03291     -7.78055   2      9.59583
     -6.46047     -4.26205     -5.69319   1      9.60808
     -3.90848     -4.07890      7.80341   2      9.63363
      3.90941      4.07907     -7.80475   2      9.63517
     -5.21165      8.11173     -0.02429   3      9.64168
      5.21193     -8.11181      0.02434   3      9.64190
     -5.21220     -8.11217      0.02421   3      9.64235
      5.21247      8.11209     -0.02416   3      9.64243
      6.56608      4.26713      5.69416   1      9.68221
      5.02043      0.20557     -8.28382   3      9.68858
     -0.19182     -5.20257     -8.26772   3      9.77030
      3.87111      6.96113      5.69283   1      9.79036
     -3.94794     -6.96081     -5.69410   1      9.82150
     -5.40369      0.20521     -8.28395   3      9.89271
     -9.09142      1.34626      3.80686   2      9.94779
      9.09239     -1.35705      3.81517   2      9.95332
     -9.12093     -4.05629      0.01128   2      9.98223
      9.12156      4.05633     -0.01272   2      9.98283
      9.14020     -1.34481     -3.81589   2      9.99564
     -5.01581     -2.49543     -8.27820   3      9.99570
